Date;Shop;Article;Sold;Revenue
01.01.2019;Superstore Hamburg;AEG Öko Lavatherm 59850 Sensidry;10;9990,00
01.01.2019;Superstore Hamburg;AEG Öko-Lavamat Öko Plus 1400;46;27554,00
01.01.2019;Superstore Hamburg;Bauknecht TK Care 6B;30;8399,40
01.01.2019;Superstore Hamburg;Bauknecht WA Sensitive 36 DI;6;2099,40
01.01.2019;Superstore Hamburg;BenQ DE350P;8;2159,92
01.01.2019;Superstore Hamburg;Bosch Rotak 43 LI (Modell 2009);43;17157,00
01.01.2019;Superstore Hamburg;Bosch WAE 2834P;13;6487,00
01.01.2019;Superstore Hamburg;Bosch WTE 84301;12;5388,00
01.01.2019;Superstore Hamburg;Brill 28 VE/RL;35;4865,00
01.01.2019;Superstore Hamburg;Denon DCD-710AE;17;6273,00
01.01.2019;Superstore Hamburg;Einhell RPM 56 S-MS;45;13499,55
01.01.2019;Superstore Hamburg;Gardena CS Vertikutier-Boy (3395-20);35;1746,50
01.01.2019;Superstore Hamburg;Gardena PowerMax 42 E;36;7199,64
01.01.2019;Superstore Hamburg;Güde GV 2400 SL;32;7968,00
01.01.2019;Superstore Hamburg;Jaytec DJT-20;35;3146,50
01.01.2019;Superstore Hamburg;Kodak Zx3 Playsport;2;259,98
01.01.2019;Superstore Hamburg;LG RH-T 298;20;8199,80
01.01.2019;Superstore Hamburg;Miele Softtronic T 7744 C;17;12733,00
01.01.2019;Superstore Hamburg;Miele Softtronic W 3241 WPS;31;24800,00
01.01.2019;Superstore Hamburg;Numark TT1650;41;6108,59
01.01.2019;Superstore Hamburg;Onkyo DX-7355;40;5599,60
01.01.2019;Superstore Hamburg;Panasonic HDC-SD707;45;35099,55
01.01.2019;Superstore Hamburg;Pioneer DVR-550HX;33;15509,67
01.01.2019;Superstore Hamburg;Samsung DVD-SR275;15;1199,85
01.01.2019;Superstore Hamburg;Sony CDP-XE370;20;2818,00
01.01.2019;Superstore Hamburg;Sony HDR-CX115;10;3989,90
01.01.2019;Superstore Hamburg;Sony PS-LX 300 USB;47;6486,00
01.01.2019;Superstore Hamburg;Technics SL-1210 MK5;11;6589,00
01.01.2019;Superstore Hamburg;Toshiba Camileo S20;44;4399,56
01.01.2019;Superstore Hamburg;Wolf-Garten 2.34 E;17;2533,00
01.01.2019;Superstore Hamburg;Wolf-Garten Campus 1000 V;28;2517,20
01.01.2019;Superstore Hamburg;Yamaha CDX-497;0;0,00
01.01.2019;Superstore Hannover;AEG Öko Lavatherm 59850 Sensidry;9;8991,00
01.01.2019;Superstore Hannover;AEG Öko-Lavamat Öko Plus 1400;19;11381,00
01.01.2019;Superstore Hannover;Bauknecht TK Care 6B;11;3079,78
01.01.2019;Superstore Hannover;Bauknecht WA Sensitive 36 DI;45;15745,50
01.01.2019;Superstore Hannover;BenQ DE350P;2;539,98
01.01.2019;Superstore Hannover;Bosch Rotak 43 LI (Modell 2009);10;3990,00
01.01.2019;Superstore Hannover;Bosch WAE 2834P;46;22954,00
01.01.2019;Superstore Hannover;Bosch WTE 84301;12;5388,00
01.01.2019;Superstore Hannover;Brill 28 VE/RL;18;2502,00
01.01.2019;Superstore Hannover;Denon DCD-710AE;24;8856,00
01.01.2019;Superstore Hannover;Einhell RPM 56 S-MS;26;7799,74
01.01.2019;Superstore Hannover;Gardena CS Vertikutier-Boy (3395-20);15;748,50
01.01.2019;Superstore Hannover;Gardena PowerMax 42 E;13;2599,87
01.01.2019;Superstore Hannover;Güde GV 2400 SL;22;5478,00
01.01.2019;Superstore Hannover;Jaytec DJT-20;23;2067,70
01.01.2019;Superstore Hannover;Kodak Zx3 Playsport;14;1819,86
01.01.2019;Superstore Hannover;LG RH-T 298;3;1229,97
01.01.2019;Superstore Hannover;Miele Softtronic T 7744 C;39;29211,00
01.01.2019;Superstore Hannover;Miele Softtronic W 3241 WPS;9;7200,00
01.01.2019;Superstore Hannover;Numark TT1650;15;2234,85
01.01.2019;Superstore Hannover;Onkyo DX-7355;41;5739,59
01.01.2019;Superstore Hannover;Panasonic HDC-SD707;38;29639,62
01.01.2019;Superstore Hannover;Pioneer DVR-550HX;14;6579,86
01.01.2019;Superstore Hannover;Samsung DVD-SR275;36;2879,64
01.01.2019;Superstore Hannover;Sony CDP-XE370;21;2958,90
01.01.2019;Superstore Hannover;Sony HDR-CX115;32;12767,68
01.01.2019;Superstore Hannover;Sony PS-LX 300 USB;3;414,00
01.01.2019;Superstore Hannover;Technics SL-1210 MK5;4;2396,00
01.01.2019;Superstore Hannover;Toshiba Camileo S20;33;3299,67
01.01.2019;Superstore Hannover;Wolf-Garten 2.34 E;27;4023,00
01.01.2019;Superstore Hannover;Wolf-Garten Campus 1000 V;5;449,50
01.01.2019;Superstore Hannover;Yamaha CDX-497;12;2879,88
01.01.2019;Superstore Kiel;AEG Öko Lavatherm 59850 Sensidry;24;23976,00
01.01.2019;Superstore Kiel;AEG Öko-Lavamat Öko Plus 1400;34;20366,00
01.01.2019;Superstore Kiel;Bauknecht TK Care 6B;43;12039,14
01.01.2019;Superstore Kiel;Bauknecht WA Sensitive 36 DI;37;12946,30
01.01.2019;Superstore Kiel;BenQ DE350P;18;4859,82
01.01.2019;Superstore Kiel;Bosch Rotak 43 LI (Modell 2009);1;399,00
01.01.2019;Superstore Kiel;Bosch WAE 2834P;18;8982,00
01.01.2019;Superstore Kiel;Bosch WTE 84301;39;17511,00
01.01.2019;Superstore Kiel;Brill 28 VE/RL;41;5699,00
01.01.2019;Superstore Kiel;Denon DCD-710AE;19;7011,00
01.01.2019;Superstore Kiel;Einhell RPM 56 S-MS;44;13199,56
01.01.2019;Superstore Kiel;Gardena CS Vertikutier-Boy (3395-20);15;748,50
01.01.2019;Superstore Kiel;Gardena PowerMax 42 E;21;4199,79
01.01.2019;Superstore Kiel;Güde GV 2400 SL;2;498,00
01.01.2019;Superstore Kiel;Jaytec DJT-20;14;1258,60
01.01.2019;Superstore Kiel;Kodak Zx3 Playsport;28;3639,72
01.01.2019;Superstore Kiel;LG RH-T 298;46;18859,54
01.01.2019;Superstore Kiel;Miele Softtronic T 7744 C;41;30709,00
01.01.2019;Superstore Kiel;Miele Softtronic W 3241 WPS;46;36800,00
01.01.2019;Superstore Kiel;Numark TT1650;25;3724,75
01.01.2019;Superstore Kiel;Onkyo DX-7355;24;3359,76
01.01.2019;Superstore Kiel;Panasonic HDC-SD707;48;37439,52
01.01.2019;Superstore Kiel;Pioneer DVR-550HX;31;14569,69
01.01.2019;Superstore Kiel;Samsung DVD-SR275;8;639,92
01.01.2019;Superstore Kiel;Sony CDP-XE370;1;140,90
01.01.2019;Superstore Kiel;Sony HDR-CX115;14;5585,86
01.01.2019;Superstore Kiel;Sony PS-LX 300 USB;8;1104,00
01.01.2019;Superstore Kiel;Technics SL-1210 MK5;28;16772,00
01.01.2019;Superstore Kiel;Toshiba Camileo S20;47;4699,53
01.01.2019;Superstore Kiel;Wolf-Garten 2.34 E;16;2384,00
01.01.2019;Superstore Kiel;Wolf-Garten Campus 1000 V;8;719,20
01.01.2019;Superstore Kiel;Yamaha CDX-497;40;9599,60
01.01.2019;Superstore Magdeburg;AEG Öko Lavatherm 59850 Sensidry;44;43956,00
01.01.2019;Superstore Magdeburg;AEG Öko-Lavamat Öko Plus 1400;15;8985,00
01.01.2019;Superstore Magdeburg;Bauknecht TK Care 6B;19;5319,62
01.01.2019;Superstore Magdeburg;Bauknecht WA Sensitive 36 DI;16;5598,40
01.01.2019;Superstore Magdeburg;BenQ DE350P;10;2699,90
01.01.2019;Superstore Magdeburg;Bosch Rotak 43 LI (Modell 2009);10;3990,00
01.01.2019;Superstore Magdeburg;Bosch WAE 2834P;38;18962,00
01.01.2019;Superstore Magdeburg;Bosch WTE 84301;23;10327,00
01.01.2019;Superstore Magdeburg;Brill 28 VE/RL;36;5004,00
01.01.2019;Superstore Magdeburg;Denon DCD-710AE;5;1845,00
01.01.2019;Superstore Magdeburg;Einhell RPM 56 S-MS;36;10799,64
01.01.2019;Superstore Magdeburg;Gardena CS Vertikutier-Boy (3395-20);32;1596,80
01.01.2019;Superstore Magdeburg;Gardena PowerMax 42 E;21;4199,79
01.01.2019;Superstore Magdeburg;Güde GV 2400 SL;2;498,00
01.01.2019;Superstore Magdeburg;Jaytec DJT-20;48;4315,20
01.01.2019;Superstore Magdeburg;Kodak Zx3 Playsport;30;3899,70
01.01.2019;Superstore Magdeburg;LG RH-T 298;10;4099,90
01.01.2019;Superstore Magdeburg;Miele Softtronic T 7744 C;41;30709,00
01.01.2019;Superstore Magdeburg;Miele Softtronic W 3241 WPS;19;15200,00
01.01.2019;Superstore Magdeburg;Numark TT1650;30;4469,70
01.01.2019;Superstore Magdeburg;Onkyo DX-7355;2;279,98
01.01.2019;Superstore Magdeburg;Panasonic HDC-SD707;41;31979,59
01.01.2019;Superstore Magdeburg;Pioneer DVR-550HX;28;13159,72
01.01.2019;Superstore Magdeburg;Samsung DVD-SR275;30;2399,70
01.01.2019;Superstore Magdeburg;Sony CDP-XE370;39;5495,10
01.01.2019;Superstore Magdeburg;Sony HDR-CX115;5;1994,95
01.01.2019;Superstore Magdeburg;Sony PS-LX 300 USB;41;5658,00
01.01.2019;Superstore Magdeburg;Technics SL-1210 MK5;24;14376,00
01.01.2019;Superstore Magdeburg;Toshiba Camileo S20;49;4899,51
01.01.2019;Superstore Magdeburg;Wolf-Garten 2.34 E;33;4917,00
01.01.2019;Superstore Magdeburg;Wolf-Garten Campus 1000 V;24;2157,60
01.01.2019;Superstore Magdeburg;Yamaha CDX-497;36;8639,64
01.01.2019;Superstore Mainz;AEG Öko Lavatherm 59850 Sensidry;14;13986,00
01.01.2019;Superstore Mainz;AEG Öko-Lavamat Öko Plus 1400;22;13178,00
01.01.2019;Superstore Mainz;Bauknecht TK Care 6B;42;11759,16
01.01.2019;Superstore Mainz;Bauknecht WA Sensitive 36 DI;21;7347,90
01.01.2019;Superstore Mainz;BenQ DE350P;44;11879,56
01.01.2019;Superstore Mainz;Bosch Rotak 43 LI (Modell 2009);25;9975,00
01.01.2019;Superstore Mainz;Bosch WAE 2834P;10;4990,00
01.01.2019;Superstore Mainz;Bosch WTE 84301;24;10776,00
01.01.2019;Superstore Mainz;Brill 28 VE/RL;2;278,00
01.01.2019;Superstore Mainz;Denon DCD-710AE;1;369,00
01.01.2019;Superstore Mainz;Einhell RPM 56 S-MS;32;9599,68
01.01.2019;Superstore Mainz;Gardena CS Vertikutier-Boy (3395-20);32;1596,80
01.01.2019;Superstore Mainz;Gardena PowerMax 42 E;23;4599,77
01.01.2019;Superstore Mainz;Güde GV 2400 SL;5;1245,00
01.01.2019;Superstore Mainz;Jaytec DJT-20;22;1977,80
01.01.2019;Superstore Mainz;Kodak Zx3 Playsport;19;2469,81
01.01.2019;Superstore Mainz;LG RH-T 298;24;9839,76
01.01.2019;Superstore Mainz;Miele Softtronic T 7744 C;13;9737,00
01.01.2019;Superstore Mainz;Miele Softtronic W 3241 WPS;3;2400,00
01.01.2019;Superstore Mainz;Numark TT1650;36;5363,64
01.01.2019;Superstore Mainz;Onkyo DX-7355;35;4899,65
01.01.2019;Superstore Mainz;Panasonic HDC-SD707;32;24959,68
01.01.2019;Superstore Mainz;Pioneer DVR-550HX;10;4699,90
01.01.2019;Superstore Mainz;Samsung DVD-SR275;13;1039,87
01.01.2019;Superstore Mainz;Sony CDP-XE370;49;6904,10
01.01.2019;Superstore Mainz;Sony HDR-CX115;44;17555,56
01.01.2019;Superstore Mainz;Sony PS-LX 300 USB;14;1932,00
01.01.2019;Superstore Mainz;Technics SL-1210 MK5;45;26955,00
01.01.2019;Superstore Mainz;Toshiba Camileo S20;15;1499,85
01.01.2019;Superstore Mainz;Wolf-Garten 2.34 E;1;149,00
01.01.2019;Superstore Mainz;Wolf-Garten Campus 1000 V;30;2697,00
01.01.2019;Superstore Mainz;Yamaha CDX-497;23;5519,77
01.01.2019;Superstore München;AEG Öko Lavatherm 59850 Sensidry;48;47952,00
01.01.2019;Superstore München;AEG Öko-Lavamat Öko Plus 1400;23;13777,00
01.01.2019;Superstore München;Bauknecht TK Care 6B;0;0,00
01.01.2019;Superstore München;Bauknecht WA Sensitive 36 DI;33;11546,70
01.01.2019;Superstore München;BenQ DE350P;7;1889,93
01.01.2019;Superstore München;Bosch Rotak 43 LI (Modell 2009);11;4389,00
01.01.2019;Superstore München;Bosch WAE 2834P;44;21956,00
01.01.2019;Superstore München;Bosch WTE 84301;12;5388,00
01.01.2019;Superstore München;Brill 28 VE/RL;25;3475,00
01.01.2019;Superstore München;Denon DCD-710AE;28;10332,00
01.01.2019;Superstore München;Einhell RPM 56 S-MS;24;7199,76
01.01.2019;Superstore München;Gardena CS Vertikutier-Boy (3395-20);39;1946,10
01.01.2019;Superstore München;Gardena PowerMax 42 E;31;6199,69
01.01.2019;Superstore München;Güde GV 2400 SL;10;2490,00
01.01.2019;Superstore München;Jaytec DJT-20;35;3146,50
01.01.2019;Superstore München;Kodak Zx3 Playsport;39;5069,61
01.01.2019;Superstore München;LG RH-T 298;43;17629,57
01.01.2019;Superstore München;Miele Softtronic T 7744 C;26;19474,00
01.01.2019;Superstore München;Miele Softtronic W 3241 WPS;35;28000,00
01.01.2019;Superstore München;Numark TT1650;34;5065,66
01.01.2019;Superstore München;Onkyo DX-7355;2;279,98
01.01.2019;Superstore München;Panasonic HDC-SD707;3;2339,97
01.01.2019;Superstore München;Pioneer DVR-550HX;17;7989,83
01.01.2019;Superstore München;Samsung DVD-SR275;9;719,91
01.01.2019;Superstore München;Sony CDP-XE370;0;0,00
01.01.2019;Superstore München;Sony HDR-CX115;22;8777,78
01.01.2019;Superstore München;Sony PS-LX 300 USB;42;5796,00
01.01.2019;Superstore München;Technics SL-1210 MK5;38;22762,00
01.01.2019;Superstore München;Toshiba Camileo S20;15;1499,85
01.01.2019;Superstore München;Wolf-Garten 2.34 E;23;3427,00
01.01.2019;Superstore München;Wolf-Garten Campus 1000 V;19;1708,10
01.01.2019;Superstore München;Yamaha CDX-497;42;10079,58
01.01.2019;Superstore Potsdam;AEG Öko Lavatherm 59850 Sensidry;21;20979,00
01.01.2019;Superstore Potsdam;AEG Öko-Lavamat Öko Plus 1400;23;13777,00
01.01.2019;Superstore Potsdam;Bauknecht TK Care 6B;46;12879,08
01.01.2019;Superstore Potsdam;Bauknecht WA Sensitive 36 DI;6;2099,40
01.01.2019;Superstore Potsdam;BenQ DE350P;13;3509,87
01.01.2019;Superstore Potsdam;Bosch Rotak 43 LI (Modell 2009);41;16359,00
01.01.2019;Superstore Potsdam;Bosch WAE 2834P;23;11477,00
01.01.2019;Superstore Potsdam;Bosch WTE 84301;1;449,00
01.01.2019;Superstore Potsdam;Brill 28 VE/RL;41;5699,00
01.01.2019;Superstore Potsdam;Denon DCD-710AE;32;11808,00
01.01.2019;Superstore Potsdam;Einhell RPM 56 S-MS;10;2999,90
01.01.2019;Superstore Potsdam;Gardena CS Vertikutier-Boy (3395-20);38;1896,20
01.01.2019;Superstore Potsdam;Gardena PowerMax 42 E;38;7599,62
01.01.2019;Superstore Potsdam;Güde GV 2400 SL;20;4980,00
01.01.2019;Superstore Potsdam;Jaytec DJT-20;49;4405,10
01.01.2019;Superstore Potsdam;Kodak Zx3 Playsport;4;519,96
01.01.2019;Superstore Potsdam;LG RH-T 298;47;19269,53
01.01.2019;Superstore Potsdam;Miele Softtronic T 7744 C;25;18725,00
01.01.2019;Superstore Potsdam;Miele Softtronic W 3241 WPS;5;4000,00
01.01.2019;Superstore Potsdam;Numark TT1650;9;1340,91
01.01.2019;Superstore Potsdam;Onkyo DX-7355;11;1539,89
01.01.2019;Superstore Potsdam;Panasonic HDC-SD707;3;2339,97
01.01.2019;Superstore Potsdam;Pioneer DVR-550HX;12;5639,88
